"","state","account.length","international.plan","voice.mail.plan","number.vmail.messages","total.day.calls","total.day.charge","total.eve.calls","total.eve.charge","total.night.calls","total.night.charge","total.intl.calls","total.intl.charge","number.customer.service.calls","Churn","c5_pred","knn_pred","logis_pred","nb_pred","rf_pred"
"1","12",0.421940928270042,"1","1",0,0.706349206349206,0.186391541609823,0.267175572519084,0.5625,0.429411764705882,0.618520675596971,0.157894736842105,0.537593984962406,0.428571428571429,"1","1","1",0,"1","1"
"2","27",0.573839662447257,"1","1",0,0.412698412698413,0.629092769440655,0.770992366412214,0.660265363128492,0.476470588235294,0.246942341292953,0.368421052631579,0.483082706766917,0,"1","1","1",0,"1","1"
"3","36",0.430379746835443,"1","2",0.557692307692308,0.484126984126984,0.835266030013643,0.511450381679389,0.637918994413408,0.747058823529412,0.78683750728014,0.315789473684211,0.695488721804511,0.142857142857143,"1","1","1",0,"1","1"
"4","33",0.413502109704641,"1","1",0,0.706349206349206,0.609481582537517,0.381679389312977,0.308659217877095,0.482352941176471,0.578334304018637,0.105263157894737,0.796992481203007,0.142857142857143,"1","1","1",0,"1","1"
"5","41",0.451476793248945,"1","1",0,0.349206349206349,0.553206002728513,0.480916030534351,0.301675977653631,0.629411764705882,0.535818287711124,0.210526315789474,0.390977443609023,0.285714285714286,"1","1","1",0,"1","1"
"6","13",0.489451476793249,"1","1",0,0.404761904761905,0.637619372442019,0.229007633587786,0.354050279329609,0.529411764705882,0.584740827023879,0.263157894736842,0.349624060150376,0.142857142857143,"1","1","1",0,"1","1"
"7","29",0.261603375527426,"1","2",0.615384615384615,0.714285714285714,0.615450204638472,0.66412213740458,0.569832402234637,0.705882352941177,0.682003494467094,0.157894736842105,0.654135338345865,0.142857142857143,"1","1","2",0,"1","1"
"8","19",0.392405063291139,"1","1",0,0.5,0.437585266030014,0.564885496183206,0.599860335195531,0.623529411764706,0.814793244030285,0.315789473684211,0.56390977443609,0,"1","1","1",0,"1","1"
"9","25",0.578059071729958,"1","1",0,0.658730158730159,0.239256480218281,0.0610687022900763,0.310055865921788,0.417647058823529,0.499126383226558,0.210526315789474,0.50187969924812,0.285714285714286,"1","1","1",0,"1","1"
"10","44",0.535864978902954,"1","2",0.826923076923077,0.523809523809524,0.496418826739427,0.389312977099237,0.370810055865922,0.541176470588235,0.509027373325568,0.0526315789473684,0.603383458646616,0,"1","1","1",0,"1","1"
"11","3",0.472573839662447,"1","2",0.75,0.341269841269841,0.58918826739427,0.396946564885496,0.420740223463687,0.588235294117647,0.418753640069889,0.210526315789474,0.456766917293233,0.142857142857143,"1","1","1",0,"1","1"
"12","44",0.586497890295359,"1","1",0,0.595238095238095,0.251023192360164,0.595419847328244,0.520251396648045,0.552941176470588,0.576004659289458,0.105263157894737,0.533834586466165,0.142857142857143,"1","1","1",0,"1","1"
"13","22",0.426160337552743,"1","1",0,0.412698412698413,0.642223738062756,0.450381679389313,0.396648044692737,0.729411764705882,0.597553873034362,0.473684210526316,0.537593984962406,0.142857142857143,"1","1","1",0,"1","1"
"14","29",0.451476793248945,"1","1",0,0.412698412698413,0.307298772169168,0.480916030534351,0.274790502793296,0.7,0.46592894583576,0.315789473684211,0.364661654135338,0.428571428571429,"1","1","1",0,"1","1"
"15","9",0.248945147679325,"1","1",0,0.341269841269841,0.581855388813097,0.511450381679389,0.550628491620112,0.523529411764706,0.283634245777519,0.263157894736842,0.654135338345865,0.142857142857143,"1","1","1",0,"1","1"
"16","24",0.40084388185654,"1","1",0,0.468253968253968,0.584242837653479,0.526717557251908,0.495111731843575,0.529411764705882,0.732673267326733,0.105263157894737,0.37593984962406,0.142857142857143,"1","1","1",0,"1","1"
"17","17",0.746835443037975,"1","2",0.423076923076923,0.253968253968254,0.307980900409277,0.473282442748092,0.62395251396648,0.7,0.510774606872452,0.157894736842105,0.725563909774436,0.142857142857143,"1","1","1",0,"1","1"
"18","24",0.312236286919831,"1","1",0,0.714285714285714,0.634038199181446,0.32824427480916,0.610335195530726,0.623529411764706,0.666278392545137,0.157894736842105,0.593984962406015,0.142857142857143,"1","1","1",0,"1","1"
"19","28",0.443037974683544,"1","2",0.480769230769231,0.563492063492063,0.472032742155525,0.534351145038168,0.647346368715084,0.670588235294118,0.4175888177053,0.263157894736842,0.704887218045113,0.571428571428571,"1","1","1",0,"1","1"
"20","12",0.662447257383966,"1","1",0,0.69047619047619,0.541268758526603,0.450381679389313,0.551326815642458,0.582352941176471,0.597553873034362,0.473684210526316,0.360902255639098,0.142857142857143,"1","1","1",0,"1","1"
"21","34",0.464135021097046,"1","2",0.673076923076923,0.857142857142857,0.448158253751705,0.50381679389313,0.40572625698324,0.576470588235294,0.440302853814793,0.263157894736842,0.746240601503759,0.142857142857143,"1","1","1",0,"1","1"
"22","6",0.426160337552743,"1","1",0,0.428571428571429,0.258015006821282,0.519083969465649,0.431215083798883,0.558823529411765,0.464764123471171,0.105263157894737,0.49812030075188,0.428571428571429,"1","1","1",0,"1","1"
"23","43",0.383966244725738,"1","2",0.480769230769231,0.515873015873016,0.21231241473397,0.625954198473282,0.864525139664804,0.611764705882353,0.355270821199767,0.421052631578947,0.471804511278195,0.285714285714286,"1","1","1",0,"1","1"
"24","9",0.172995780590717,"1","2",0.596153846153846,0.531746031746032,0.47612551159618,0.50381679389313,0.626396648044693,0.711764705882353,0.456610366919045,0.157894736842105,0.558270676691729,0.285714285714286,"1","1","1",0,"1","1"
"25","36",0.286919831223629,"1","1",0,0.611111111111111,0.645293315143247,0.50381679389313,0.424231843575419,0.470588235294118,0.616191030867793,0.263157894736842,0.263157894736842,0.142857142857143,"1","1","1",0,"1","1"
"26","38",0.489451476793249,"1","2",0.730769230769231,0.476190476190476,0.732605729877217,0.251908396946565,0.662709497206704,0.735294117647059,0.705882352941176,0.0526315789473684,0.466165413533835,0.428571428571429,"1","1","1",0,"1","1"
"27","30",0.316455696202532,"1","2",0.788461538461538,0.603174603174603,0.597203274215553,0.450381679389313,0.44622905027933,0.458823529411765,0.488060570762959,0.263157894736842,0.513157894736842,0,"1","1","1",0,"1","1"
"28","14",0.29957805907173,"2","1",0,0.603174603174603,0.273703956343793,0.244274809160305,0.645949720670391,0.617647058823529,0.874199184624345,0.315789473684211,0.56390977443609,0,"1","1","1",0,"1","1"
"29","51",0.481012658227848,"2","2",0.115384615384615,0.722222222222222,0.387107776261937,0.473282442748092,0.402234636871508,0.564705882352941,0.653465346534653,0.157894736842105,0.513157894736842,0.142857142857143,"1","1","1",0,"1","2"
